,FL_NUM,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,ORIGIN,DEST,CRS_ARR_TIME,DEP_DEL15,ARR_DEL15,DEP_DELAY
91,514,1,7,4,ATL,MSP,1354,1.0,0.0,22.0
92,589,1,7,4,MSP,SEA,1100,0.0,0.0,-3.0
93,1650,1,5,2,DTW,MSP,824,0.0,0.0,-1.0
94,1734,1,5,2,MSP,DTW,1436,0.0,0.0,-3.0
95,1795,1,5,2,ATL,JFK,2014,0.0,0.0,1.0
96,1893,1,5,2,DTW,ATL,1049,0.0,0.0,7.0
97,2016,1,5,2,JFK,ATL,2211,0.0,0.0,2.0
98,1975,1,6,3,MSP,ATL,1458,0.0,0.0,0.0
99,2074,1,6,3,ATL,MSP,1924,0.0,0.0,1.0
100,2221,1,6,3,MSP,SEA,1322,0.0,0.0,-5.0
101,2287,1,6,3,ATL,MSP,2357,1.0,0.0,29.0
102,2382,1,6,3,ATL,MSP,2108,0.0,0.0,-1.0
103,2448,1,6,3,DTW,ATL,1415,0.0,0.0,-4.0
104,2793,1,6,3,DTW,MSP,1107,0.0,0.0,-4.0
105,7,1,7,4,ATL,MSP,1230,0.0,0.0,-3.0
106,86,1,7,4,MSP,DTW,1632,0.0,0.0,-9.0
107,423,1,7,4,JFK,ATL,1600,0.0,0.0,10.0
108,2448,1,7,4,DTW,ATL,1420,0.0,0.0,-4.0
109,485,1,5,2,JFK,SEA,2018,0.0,0.0,-5.0
110,588,1,5,2,SEA,MSP,1627,0.0,0.0,3.0
111,744,1,5,2,MSP,ATL,1334,0.0,0.0,-3.0
112,789,1,5,2,SEA,MSP,1837,0.0,0.0,-1.0
113,844,1,5,2,ATL,MSP,1230,0.0,0.0,-2.0
114,929,1,5,2,DTW,ATL,1840,0.0,0.0,-4.0
115,984,1,5,2,ATL,JFK,2315,0.0,0.0,-1.0
116,1096,1,5,2,DTW,MSP,1303,0.0,0.0,0.0
117,1145,1,5,2,ATL,DTW,1824,0.0,0.0,2.0
118,1593,1,7,4,SEA,ATL,653,0.0,0.0,-3.0
119,1707,1,7,4,DTW,MSP,945,0.0,0.0,-4.0
120,1770,1,7,4,SEA,MSP,2048,0.0,0.0,-1.0
121,1840,1,7,4,MSP,DTW,2044,0.0,0.0,4.0
122,1975,1,7,4,MSP,ATL,1458,0.0,0.0,0.0
123,2074,1,7,4,ATL,MSP,1924,1.0,0.0,21.0
124,2221,1,7,4,MSP,SEA,1322,0.0,0.0,-4.0
125,2287,1,7,4,ATL,MSP,2357,0.0,0.0,-5.0
126,2382,1,7,4,ATL,MSP,2108,0.0,0.0,1.0
127,1231,1,8,5,ATL,DTW,1542,0.0,0.0,-2.0
128,744,1,7,4,MSP,ATL,1334,0.0,1.0,5.0
129,789,1,7,4,SEA,MSP,1837,0.0,0.0,-5.0
130,844,1,7,4,ATL,MSP,1230,0.0,0.0,-1.0
131,945,1,7,4,DTW,ATL,1558,0.0,0.0,-8.0
132,987,1,7,4,SEA,DTW,615,0.0,0.0,-6.0
133,1107,1,7,4,ATL,SEA,2205,0.0,0.0,6.0
134,1145,1,7,4,ATL,DTW,1824,0.0,0.0,11.0
135,1231,1,7,4,ATL,DTW,1542,0.0,0.0,4.0
136,1397,1,7,4,MSP,SEA,1603,0.0,0.0,-5.0
137,1473,1,7,4,SEA,JFK,1930,0.0,0.0,0.0
138,2188,1,8,5,ATL,SEA,1913,0.0,0.0,1.0
139,2263,1,8,5,ATL,DTW,1253,0.0,0.0,3.0
140,2312,1,8,5,MSP,JFK,2149,0.0,0.0,-4.0
141,2413,1,8,5,SEA,JFK,1515,0.0,0.0,2.0
142,2448,1,8,5,DTW,ATL,1418,0.0,0.0,-8.0
143,2610,1,8,5,ATL,MSP,914,0.0,0.0,-1.0
144,2817,1,8,5,JFK,DTW,1115,0.0,0.0,-3.0
145,2794,1,7,4,DTW,ATL,945,0.0,0.0,-2.0
146,8,1,8,5,MSP,ATL,2105,0.0,1.0,3.0
147,281,1,8,5,DTW,SEA,1100,0.0,0.0,-7.0
148,440,1,8,5,JFK,ATL,1051,0.0,0.0,-2.0
149,514,1,8,5,ATL,MSP,1354,1.0,0.0,39.0
150,589,1,8,5,MSP,SEA,1100,0.0,0.0,-3.0
151,744,1,8,5,MSP,ATL,1334,1.0,0.0,18.0
152,784,1,8,5,ATL,MSP,1040,0.0,0.0,-1.0
153,840,1,8,5,MSP,DTW,2234,0.0,0.0,-3.0
154,945,1,8,5,DTW,ATL,1555,1.0,1.0,45.0
155,987,1,8,5,SEA,DTW,615,0.0,0.0,-5.0
156,1107,1,8,5,ATL,SEA,2205,0.0,0.0,12.0
157,1145,1,8,5,ATL,DTW,1824,0.0,0.0,0.0
158,866,1,9,6,ATL,MSP,1538,0.0,0.0,-4.0
159,976,1,9,6,ATL,JFK,1211,0.0,0.0,-5.0
160,1094,1,9,6,ATL,MSP,1645,0.0,0.0,-1.0
161,1122,1,9,6,MSP,ATL,1057,0.0,0.0,-4.0
